empresa,año,trimestre,archivo,escala_detectada,efectivo,activo_corriente,activo_total,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio_total,ganancias_retenidas,inventarios,deuda_cp,deuda_lp,ingresos,utilidad_neta,utilidad_operativa,gastos_financieros,impuesto_renta,depreciacion_amortizacion
CELSIA,2022,3,Q3 2022.xbrl,0.001,208156.783,1587719.561,14460016.216,2650670.768,5316019.256,7966690.024,6493326.192,259953.39,186736.687,1129105.12,4564857.798,3916936.393,295464.148,1015343.042,-370967.969,-234516.80000000002,41008.265
CELSIA,2022,4,CIERRE 2022.xbrl,0.001,211739.34100000001,4569522.976,14933969.804,3262121.805,4974444.018,8236565.823,6697403.981,257481.426,142036.121,495008.025,4284639.17,5584546.271,276445.375,1318350.8800000001,-628144.09,-314846.189,54019.007
CELSIA,2023,1,Q1 2023.xbrl,0.001,270293.794,4209820.307,14853617.075000001,3321428.9450000003,5191845.749,8513274.694,6340342.381,280810.478,134757.445,362925.587,4500184.220000001,1506530.375,75367.357,416038.799,-232623.428,-64248.914000000004,12823.353000000001
CELSIA,2023,2,Q2 2023.xbrl,0.001,224496.43300000002,3916570.6950000003,14565895.405000001,3432854.2120000003,4892074.553,8324928.765000001,6240966.64,280810.478,155810.983,749987.402,4204986.919,3290208.5100000002,120733.02900000001,791190.176,-456227.249,-139611.7526341403,25416.897
CELSIA,2023,3,Q3 2023.xbrl,0.001,116410.056,4420765.648,15260112.92,4191182.042,4811177.967,9002360.009,6257752.911,280810.478,140434.147,907321.036,4103223.9790000003,4873922.451,178970.775,1113760.401,-678049.779,-172843.92367070622,38475.107
CELSIA,2023,4,CIERRE 2023.xbrl,0.001,556498.126,2629720.548,13754805.538,3644258.404,4593815.394,8238073.798,5516731.74,280809.238,128678.584,997575.591,3991482.1610000003,6709403.288,193480.622,1367897.0760000001,-873310.61,-210302.404,50356.113
CELSIA,2024,1,Q1 2024.xbrl,0.001,585052.154,2720672.807,13875044.93,4498626.246,4264915.379,8763541.625,5111503.305,246293.913,154453.03100000002,1702271.563,3644641.83,1459706.966,21479.256,198752.329,-176950.404,-3059.782,12126.181
CELSIA,2024,2,Q2 2024.xbrl,0.001,334391.775,2922005.5,13926614.466,4396792.811,4282049.692,8678842.503,5247771.963,246527.801,203773.459,1688157.051,3639233.0470000003,3646920.298,119212.048,531617.018,-362231.825,-22762.58148,22867.301
CELSIA,2024,3,Q3 2024.xbrl,0.001,214523.339,2924790.375,14225852.668,4591623.374,4298060.2360000005,8889683.61,5336169.058,247483.787,206119.15600000002,1765299.028,3655375.933,5278422.05,193520.391,789651.231,-518893.005,-71067.802,33800.634
CELSIA,2024,4,CIERRE 2024.xbrl,0.001,215728.381,3562272.889,15112166.652,5190669.894,4528343.413,9719013.307,5393153.345,248669.995,203785.187,1675906.19,3901979.7060000002,7531349.086,221968.149,1035199.171,-688292.103,-99007.023,44813.58
CELSIA,2025,1,Q1 2025.xbrl,0.001,210237.138,3387212.0640000002,14934262.925,5523727.398,4363642.919,9887370.317,5046892.608,-156414.21600000001,189196.143,2270336.147,3727961.364,1656529.8360000001,57956.361000000004,354751.21,-181833.494,-81412.232,10384.673
CELSIA,2025,2,Q2 2025.xbrl,0.001,249815.244,3293932.443,14928513.18,5615529.408,4180886.648,9796416.056,5132097.124,-150920.245,180388.931,2554728.886,3506568.118,3158004.12,123614.84700000001,675995.535,-356404.418,-108768.55402047488,22438.379
CELSIA,2025,3,Q3 2025.xbrl,0.001,764254.9770000001,3518056.913,14800525.004,5784764.24,3871132.198,9655896.438000001,5144628.566,-150662.519,161686.219,2812599.892,3203680.395,4593526.846,182577.555,938274.628,-525508.045,-128499.60800000001,36825.436
